id,latitude,longitude,boot,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
3,43.473708,-80.553085,1,0,27.08,56.69,100,25.25,26.88,26.88,3.805
3,43.473708,-80.553085,2,0,27.32,56.1,100,25.07,12,12,3.623
3,43.473708,-80.553085,3,0,27.47,55.08,100,25.69,13.92,13.92,3.491
3,43.473708,-80.553085,4,0,27.24,54.83,100,24.95,19.2,19.2,3.468
3,43.473708,-80.553085,5,1,27.11,56.73,100,25.19,5.76,5.76,3.554
3,43.473708,-80.553085,6,1,27.09,56.4,100,25.37,8.64,8.64,3.515
3,43.473708,-80.553085,7,1,27.11,55.91,100,25.41,0,0,3.478
3,43.473708,-80.553085,8,1,27.02,57.15,100,25.31,0,0,3.454
3,43.473708,-80.553085,9,2,26.89,57.93,100,25.61,0,0,3.446
3,43.473708,-80.553085,10,2,26.49,57.8,96,25.11,14.88,14.88,3.43
3,43.473708,-80.553085,11,2,26.31,56.47,93,24.83,8.64,8.64,3.434
3,43.473708,-80.553085,12,2,26.22,57.43,99,25.19,3.36,3.36,3.449
3,43.473708,-80.553085,13,3,25.95,58.6,95,25.05,30.24,30.24,3.446
3,43.473708,-80.553085,14,3,25.68,59.17,95,24.83,18.72,18.72,3.457
3,43.473708,-80.553085,15,3,25.49,59.88,94,24.93,30.24,30.24,3.481
