id,latitude,longitude,boot,elapsed_min,ambient_temp_C,humidity_pct,tvoc,floor_temp_C,wind_avg_kmh,wind_max_kmh,batt_v
5,43.473918,-80.539789,1,0,27.02,52.71,100,29.31,13.44,13.44,3.786
5,43.473918,-80.539789,2,0,27.09,52.28,100,29.45,10.08,10.08,3.529
5,43.473918,-80.539789,3,0,27.22,52.99,100,29.37,0,0,3.485
5,43.473918,-80.539789,4,0,27.29,52.2,100,29.09,0,0,3.47
5,43.473918,-80.539789,5,1,27.39,51.52,100,29.45,6.72,6.72,3.412
5,43.473918,-80.539789,6,1,27.5,50.95,100,29.35,9.12,9.12,3.382
5,43.473918,-80.539789,7,1,27.57,51.71,100,29.19,15.36,15.36,3.367
5,43.473918,-80.539789,8,1,27.66,51.76,100,29.23,5.76,5.76,3.381
5,43.473918,-80.539789,9,2,27.78,53.03,100,29.55,3.84,3.84,3.336
5,43.473918,-80.539789,10,2,27.85,51.19,99,29.43,0,0,3.322
5,43.473918,-80.539789,11,2,27.87,52.28,96,29.51,13.92,13.92,3.322
5,43.473918,-80.539789,12,2,27.93,52.98,92,29.31,11.04,11.04,3.31
5,43.473918,-80.539789,13,3,27.96,52.03,90,29.43,9.6,9.6,3.406
5,43.473918,-80.539789,14,3,27.99,51.26,92,29.57,5.76,5.76,3.303
5,43.473918,-80.539789,15,3,28,51.14,99,29.65,10.08,10.08,3.305
5,43.473918,-80.539789,16,3,28.05,51.51,90,29.55,6.24,6.24,3.445
